iter	Passed	Remaining
849	23124	4080
850	23146	4052
851	23170	4024
852	23192	3996
853	23212	3968
854	23234	3940
855	23254	3912
856	23276	3883
857	23299	3856
858	23320	3827
859	23343	3800
860	23371	3773
861	23394	3745
862	23422	3718
863	23443	3690
864	23465	3662
865	23486	3634
866	23513	3607
867	23534	3579
868	23555	3550
869	23581	3523
870	23605	3496
871	23628	3468
872	23656	3441
873	23684	3414
874	23710	3387
875	23738	3360
876	23770	3333
877	23796	3306
878	23822	3279
879	23851	3252
880	23877	3225
881	23901	3197
882	23924	3170
883	23950	3142
884	23975	3115
885	23999	3087
886	24025	3060
887	24051	3033
888	24084	3007
889	24107	2979
890	24140	2953
891	24175	2927
892	24199	2899
893	24225	2872
894	24251	2845
895	24282	2818
896	24308	2791
897	24336	2764
898	24367	2737
899	24394	2710
900	24423	2683
901	24450	2656
902	24474	2629
903	24497	2601
904	24524	2574
905	24548	2546
906	24568	2519
907	24590	2491
908	24611	2463
909	24633	2436
910	24656	2408
911	24676	2381
912	24703	2353
913	24729	2326
914	24758	2299
915	24783	2272
916	24810	2245
917	24835	2218
918	24858	2190
919	24881	2163
920	24905	2136
921	24927	2108
922	24947	2081
923	24967	2053
924	24988	2026
925	25010	1998
926	25034	1971
927	25059	1944
928	25082	1916
929	25103	1889
930	25130	1862
931	25151	1835
932	25173	1807
933	25193	1780
934	25216	1753
935	25244	1726
936	25268	1698
937	25292	1671
938	25315	1644
939	25343	1617
940	25367	1590
941	25391	1563
942	25423	1536
943	25452	1509
944	25475	1482
945	25495	1455
946	25519	1428
947	25545	1401
948	25567	1374
949	25590	1346
950	25615	1319
951	25640	1292
952	25668	1265
953	25691	1238
954	25714	1211
955	25734	1184
956	25757	1157
957	25778	1130
958	25800	1103
959	25822	1075
960	25846	1048
961	25869	1021
962	25893	994
963	25916	967
964	25940	940
965	25960	913
966	25986	886
967	26006	859
968	26030	832
969	26054	805
970	26081	778
971	26105	751
972	26130	725
973	26152	698
974	26168	670
975	26187	643
976	26208	616
977	26231	590
978	26254	563
979	26281	536
980	26303	509
981	26329	482
982	26355	455
983	26381	428
984	26409	402
985	26431	375
986	26455	348
987	26485	321
988	26513	294
989	26536	268
990	26559	241
991	26583	214
992	26603	187
993	26625	160
994	26647	133
995	26676	107
996	26700	80
997	26724	53
998	26748	26
999	26769	0
